,AttackID,Date,Location,Narration,Status,lat,lon
1,161-19,2019-12-30 23:30:00+01:00,"Limboh Anchorage, Cameroon.",Around six persons armed with guns boarded an anchored tanker. A distress message was sent by the tanker. The persons stole ship,Boarded,3.9666667,9.083333
3,159-19,2019-12-13 05:30:00+01:00,Algeria.,Duty crew onboard a berthed tanker noticed three unauthorised persons attempting to board via the forward mooring ropes. Alarm raised resulting in the persons escaping. Incident reported to PFSO. A search was carried out. Nothing reported stolen.,Attempted,36.763992,3.0631904999999997
6,156-19,2019-12-21 01:25:00+01:00,"Lagos Secure Anchorage Area, Nigeria.","Duty crew on board an anchored product tanker noticed two unauthorized persons onboard and raised the alarm. Crew mustered. Naval patrol boat notified via VHF, which responded and searched the waters around the tanker. A search was carried out. Nothing reported stolen.",Boarded,6.251111,3.2166667
7,155-19,2019-12-01 06:05:00+05:30,"Visakhapatnam Anchorage, India.","Around 15 to 18 persons in three skiffs approached an anchored bulk carrier. They attempted to board the ship using a rope attached to a hook. Alert crew noticed the attempted boarding and notified the port control and Coast Guard. A patrol vessel was dispatched resulting in the robbers aborting the attempted boarding and escaped. After chasing the boats for a while, the  patrol boat managed to stop one skiff and arrested the persons onboard.",Attempted,17.6025,83.35
10,152-19,2019-12-21 23:30:00+01:00,"Owendo Anchorage, Gabon.","Around six armed persons in a skiff came alongside an anchored bulk carrier and attempted to hook on a ladder to board the vessel. The persons threatened the crew with their weapons. Alarm raised and port authorities notified. Seeing the alerted crew, the armed persons aborted the attempted boarding. Vessel and crew are safe.",Attempted,0.31805557,9.385278
12,150-19,2019-12-17 03:30:00+01:00,"Pointe Noire Anchorage, The Congo.","Two robbers in a canoe came alongside an anchored offshore tug. They boarded the vessel, stole ship",Boarded,-4.7655554,11.783334
13,149-19,2019-12-15 08:00:00+00:00,"Around 118nm SSW of Cotonou, Benin.","Around six heavily armed pirates boarded a product tanker underway. They took hostage all crew members and destroyed some equipment resulting in the tanker going into a blackout condition. The remaining crew sent a distress and requested to be towed to a safe area. Upon receiving the information, the IMB Piracy Reporting Centre immediately notified and liaised with the Regional Authorities to provide assistance to the tanker. A Togo Navy ship was dispatched to the location of the tanker and made arrangements to tow the tanker. Twenty crew were reported missing.",Boarded,4.385,2.0541666000000003
16,146-19,2019-12-03 18:10:00+00:00,"Around 76nm South of Bonny, Nigeria.",Armed pirates attack and boarded an oil tanker underway. Nineteen crew were identified as missing. The vessel Owners notified the Nigerian Navy and MRCC for assistance. Remaining crew sailed the tanker to a safe area.,Boarded,3.1,7.116667
19,141-19,2019-11-19 23:55:00+02:00,"Nacala Outer Anchorage, Mozambique.",Duty crew onboard an anchored bulk carrier noticed an unauthorised person on the forecastle deck and raised the alarm. Crew mustered and a search carried out. Seeing the alerted crew the person escaped. Nothing reported stolen. All crew safe. Incident reported to Port Control.,Boarded,-14.383295,40.75356
21,139-19,2019-11-11 08:30:00+01:00,Nigeria.,Ten armed persons attacked a passenger boat and kidnapped four Immigration Officers. The Nigerian Navy rescued the kidnapped Immigration Officers on 13 November. No casualties reported.,Boarded,4.549046,7.197075
