,AttackID,Date,Location,Narration,Status,lat,lon
57,103-19,2019-08-26 03:45:00+07:00,"Around 17nm ENE of Bandar Penawar, Johor, Malaysia.","Duty crew onboard an anchored tanker noticed armed persons on the forecastle and notified the duty officer. Alarm raised and forward whistle sounded. Master advised all crew to retreat into the accommodation. Hearing the alarm, the armed persons escaped with a life raft and other ship",Boarded,1.5833334,104.53333
58,102-19,2019-08-23 01:30:00+07:00,"Belawan Anchorage, Indonesia.","Duty crew onboard an anchored bulk carrier noticed a small boat near the anchor chain and told the boat to move away as they were about to heave up the anchor. As the duty crew was about to raise the alarm, two armed robbers who had already boarded the ship, held the duty crew at knife point and tied him up. When the ship was ready to heave up the anchor, the remaining crew proceeded to the forecastle. On seeing these crew members approaching, the robbers snatched the duty crew",Boarded,3.8397129,98.73939
60,100-19,2019-08-21 03:40:00+07:00,"Batam Anchorage, Indonesia.",Five robbers armed with knives boarded an anchored tug. Crew alerted and alarm raised. All crew mustered in a safe location and called the local authorities who responded and boarded the tug for investigations. Deck and engine room spares were reported stolen. All crew safe.,Boarded,1.1025,103.88416
62,098-19,2019-08-12 02:30:00+07:00,"Phuoc Long Mooring Buoy No. 03, Vietnam.","Duty AB on routine rounds onboard a berthed container vessel noticed two robbers armed with knives trying to break into the steering gear room. Duty Officer notified. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped. Nothing reported stolen.",Boarded,10.738055000000001,106.77
67,093-19,2019-08-07 03:00:00+07:00,"Tanjung Uban Anchorage, Indonesia.","Three robbers in a wooden boat came alongside an anchored chemical tanker. They attempted to board the tanker using hooks attached with ropes. Duty Officer on security rounds on the bridge noticed the robbers and raised the alarm, sounded ship",Attempted,1.1055555000000001,104.16861
71,089-19,2019-07-31 05:20:00+07:00,"Around 5nm North of Tanjung Priok, Jakarta, Indonesia.","Six robbers armed with knives boarded a chemical tanker waiting for pilot. They injured the Chief Engineer on routine rounds. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the VTS.",Boarded,-6.0084724000000005,106.86667
72,088-19,2019-07-31 06:20:00+07:00,"Belawan Anchorage, Indonesia.","Two robbers boarded an anchored bulk carrier. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the Port Control.",Boarded,3.8785293,98.77254
75,085-19,2019-07-28 02:55:00+07:00,"SDS Terminal, St 1, Lubuk Gaung, Indonesia.","Four armed robbers boarded a berthed tanker during cargo operations. Alert crew noticed the robbers near the engine room and raised the alarm. Upon hearing the alarm and seeing the crew alertness, the robbers escaped through the steering gear room. A search was carried out. It was reported that engine spares were stolen. Incident reported to the PFSO.",Boarded,1.7574509999999999,101.36746
76,084-19,2019-07-23 06:00:00+07:00,"PT Dharma Sentosa Marindo Yard, Batam, Indonesia.",Four robbers in a boat approached and boarded a berthed offshore tug. Second mate on routine rounds noticed footprints on the main deck. Further checks revealed a storeroom padlock broken. Alarm raised and crew mustered. Vessel,Boarded,1.0682542,103.90352
78,082-19,2019-07-25 19:40:00+07:00,"Lotus Port, Ho Chi Minh City, Vietnam.","Third officer on routine rounds onboard a berthed general cargo ship noticed an unauthorised person on deck throwing items over the shipside. On checking, the duty officer noticed two boats collecting the items. Alarm raised. Seeing the approaching officer, the unauthorised person escaped. Upon checking it was found that the padlock of the forward store was broken, and ship",Boarded,10.741576,106.74468
