,AttackID,Date,Location,Narration,Status,lat,lon
277,078-20,2020-05-17 01:30:00+07:00,"Anyer Anchorage, Indonesia.","Duty crew on routine rounds onboard an anchored tanker noticed a robber armed with a knife. OOW informed and alarm raised. While retreating into the accommodation, the duty crew spotted another robber emerging from the emergency steering room. Crew mustered, and the robbers were seen escaping in their boat. A search was carried out and engine spares were reported missing.",Boarded,-6.0315194000000005,105.92959599999999
278,077-20,2020-05-17 04:00:00+07:00,"Tanjung Uban Anchorage, Indonesia.","Duty crew on routine rounds, onboard an anchored product tanker noticed three robbers armed with knives. The crew raised the alarm and retreated into the accommodation. Crew mustered. Seeing the alerted crew, the robbers escaped. Nothing was reported stolen. Vessel and crew safe.",Boarded,1.0841666,104.16889
279,076-20,2020-05-16 05:30:00+07:00,"Belawan Port, Indonesia.","Unnoticed, robbers boarded a berthed product tanker and stole ship",Boarded,3.7836034,98.70508000000001
286,070-20,2020-05-06 07:30:00+08:00,"Muara Berau Anchorage, Indonesia.","Duty crew on routine rounds onboard an anchored bulk carrier noticed the forward hatch of the forecastle open. Upon inspection, it was discovered that the security padlock was broken and ship",Boarded,-0.26666668,117.58333600000002
288,068-20,2020-05-04 02:50:00+07:00,"Around 29nm NE of Pulau Bintan, Indonesia.","Four robbers in a wooden boat, armed with knives, came alongside an anchored product tanker. Two of the robbers boarded the tanker using a hook attached with a rope. Duty AB on routine rounds encountered the robbers and immediately informed the bridge. Alarm raised, PA announcement made, and crew mustered. The robbers took the AB",Boarded,1.6019444,104.86889
290,066-20,2020-04-30 04:15:00+07:00,Singapore Straits.,"Duty crew in the engine room noticed three unauthorised persons entering the engine room. The duty crew shouted at the persons who escaped. Alarm raised, crew mustered, and Singapore VTIS notified. The Singapore Police boarded the vessel for inspection. On searching the vessel, nothing was reported stolen.",Boarded,1.2686111,104.269165
294,062-20,2020-04-22 22:00:00+07:00,Singapore Straits.,Two robbers armed with knives boarded a bulk carrier underway. Duty crew spotted the robbers and informed the OOW. Alarm raised and crew mustered. Singapore Police Coast Guard boarded the vessel for investigation. Nothing reported stolen.,Boarded,1.2555555,104.05
296,060-20,2020-04-12 05:00:00+08:00,Indonesia.,Duty crew on routine rounds onboard an anchored bulk carrier noticed the forward store room door security padlock broken. Further investigation revealed ship,Boarded,-3.6905682,114.46003
299,057-20,2020-04-11 09:30:00+07:00,"Around 16nm NE of Bandar Penawar, Malaysia.","Unnoticed, robber boarded an anchored tanker, stole ship",Boarded,1.7083334,104.477776
301,055-20,2020-04-20 01:45:00+07:00,Vietnam.,Four robbers in a wooden boat boarded an anchored chemical tanker. Duty watchman on routine rounds noticed the robbers and notified the OOW. Alarm raised and ship,Boarded,10.413364999999999,107.11433999999998
304,052-20,2020-04-16 00:00:00+07:00,Singapore Straits.,"Three robbers armed with long knives in an unlit boat approached and boarded a bulk carrier underway. Duty oiler on routine rounds noticed the robbers in the engine room and raised the alarm. Master made PA announcement, crew mustered and made a search. Hearing the alarm and seeing the crew alertness, the robbers escaped with stolen ship",Boarded,1.2527778,104.03333
306,050-20,2020-04-14 03:10:00+08:00,"Manila Anchorage, Philippines.",Two robbers in an unlit boat approached and boarded an anchored container ship. Duty OS on routine rounds noticed the boat and raised the alarm. Crew mustered and moved forward. Seeing the alerted crew the robbers escaped with ship,Boarded,14.562786,120.91023999999999
309,047-20,2020-03-27 20:00:00+05:30,"Around 8nm East of Alang, India.","Crew onboard a tug towing the barge noticed unauthorised persons boarding the barge, stealing barge properties and escaping. Alarm raised and incident reported to VTS and Coast Guard, who dispatched a boat to investigate.",Boarded,21.400278,72.333336
312,044-20,2020-02-07 19:10:00+06:00,"Matarbari Anchorage, Bangladesh.",Duty AB onboard an anchored tug noticed robbers armed with knives boarding the tug and immediately informed the Duty Officer. Alarm raised and crew mustered. Robbers stole ship,Boarded,21.695278,91.84278
314,042-20,2020-03-23 02:25:00+08:00,Philippines.,"Duty crew onboard a berthed product tanker noticed a robber with a long knife near the forecastle and immediately informed the OOW. Alarm raised and all crew mustered. Seeing the alerted crew, the robber escaped. Vessel and crew safe.",Boarded,13.692691,121.002045
317,039-20,2020-02-28 04:00:00+05:30,"Kakinada Anchorage, India.",Seven persons in a dinghy boat approached and boarded an anchored offshore tug. They stole lube oil drums and escaped. Incident reported to Kakinada Coast Guard. Two coast guard ships were deployed to search the fishing boats in the vicinity.,Boarded,16.966667,82.3
320,036-20,2020-03-13 20:10:00+07:00,"Belawan Anchorage, Indonesia.","Duty watchman onboard an anchored container ship noticed an armed robber on the forecastle.  He immediately informed the duty officer who sounded the alarm. Hearing the alarm and seeing the alerted crew, the robber escaped by boat. A second robber was spotted escaping via the anchor chain. Crew mustered and a search was carried out. Nothing reported stolen.",Boarded,3.925,98.771385
321,035-20,2020-03-16 03:30:00+07:00,Singapore Straits.,Three robbers armed with crowbar and pipes boarded a bulk carrier underway. The engine crew noticed the robbers and managed to lock them inside the engine room workshop. Alarm raised and crew mustered. Two accomplices in a skiff tried to approach the vessel but were repelled by the crew. Singaporean and Indonesian Authorities notified. Two Indonesian Authority armed guards boarded the vessel and arrested the three robbers.,Boarded,1.1691667,103.433334
326,030-20,2020-02-27 23:30:00+07:00,Singapore Straits.,"Duty lookout onboard the bridge of a bulk carrier underway noticed four unauthorized persons near the accommodation block. Alarm raised, crew mustered and Singapore VTIS notified. Hearing the alerted crew the unauthorised persons escaped. The Singapore Coast Guard boarded the vessel for inspection. On searching the vessel, nothing was reported stolen.",Boarded,1.1847222,103.44
327,029-20,2020-02-19 08:20:00+05:30,"Around 7.7nm SSE of Diu, Gujarat, India.",Nine persons in a fishing boat approached a tanker under tow by a tug. Two persons boarded the tanker. The Master of the tug immediately reported the incident to the Indian Coast Guard via vhf ch,Boarded,20.61111,71.0525
329,027-20,2020-02-20 00:00:00+05:30,"Kakinada Anchorage, India.","During routine rounds, crew noticed ship",Boarded,17.051389999999998,82.40166500000001
336,020-20,2020-02-09 01:20:00+07:00,Singapore Straits.,"Duty crew onboard a bulk carrier underway noticed six armed robbers in the engine room and raised the alarm. Crew mustered and incident reported to Singapore VTIS. Seeing the alerted crew, the robbers escaped with stolen ship",Boarded,1.2583333,104.16167
338,018-20,2020-01-08 03:15:00+07:00,Singapore Straits.,"Duty motorman on routine engine room rounds, onboard a product tanker underway, noticed an unauthorized person armed with a knife in the steering gear room. As the motorman challenged the person, a second person was noticed escaping towards the poop deck. Alarm raised. Incident reported to Singapore VTIS. On searching the tanker, nothing was reported stolen.",Boarded,1.2722223,104.270836
339,017-20,2020-02-09 01:30:00+07:00,Singapore Straits.,"Duty crew onboard a product tanker underway noticed an unauthorised person in the engine room. Alarm raised, crew mustered, and incident reported to Singapore VTIS. On searching the vessel it was noticed that ship",Boarded,1.2686111,104.174446
342,014-20,2020-02-03 04:20:00+07:00,"Around 0.4nm SW of PT Dharma Sentosa Marindo Yard, Pulau Batam, Indonesia.",Alert crew onboard a tug moored to a buoy noticed three robbers on deck and raised the alarm. The crew confronted the robbers who were able to escape with the assistance of two of their accomplices waiting in their boat. Incident reported to the police who boarded the tug for investigations. A search was carried out. It was noticed the padlock to the storeroom was damaged and ship,Boarded,1.0747222,103.91055
343,013-20,2020-01-21 04:45:00+07:00,"Pulau Batam, Indonesia.","While anchored, a product tanker was boarded by two robbers. While they were stealing ship",Boarded,1.0841056,104.1458
348,008-20,2020-01-26 10:24:00+07:00,"Belawan Anchorage, Indonesia.","Deck watchmen on routine rounds onboard an anchored tanker noticed the forward storeroom broken into and ships properties missing. On searching the area, footsteps were noticed on the forecastle and it was assumed that the thieves gained access via the anchor chain.",Boarded,3.9469445,98.75667
350,006-20,2020-01-07 07:00:00+05:30,"Alang Anchorage, India.","While anchored, persons in a small boat approached and boarded a barge, stole some scrap metal and escaped. Master noticed the persons and reported the incident to the Authorities who managed to apprehend the thieves.",Boarded,21.403334,72.287224
351,004-20,2020-01-16 20:00:00+08:00,"Lahad Datu, Malaysia.",A fishing vessel was attacked by six armed persons in a grey coloured speed boat. Malaysian Authorities managed to locate and intercept the fishing vessel. Three crews were found safe on the vessel. The remaining five crews were reported kidnapped.,Boarded,5.4868182999999995,119.07875
357,004-21,2021-01-14 11:49:00+03:00,Gulf of Aden.,"While underway, a bulk carrier noticed a skiff approaching. Alarm sounded and all crew mustered. At a distance of 0.2nm weapons and ladders were noticed in the skiff. The onboard armed team fired warning shots, resulting in the skiff aborting and moving away.",Attempted,12.100278,44.434723
359,002-21,2021-01-04 03:40:00+08:00,"Muara Berau Anchorage, Indonesia.",Three robbers armed with knives boarded an anchored bulk carrier. Duty crew spotted the robbers near the forecastle store escaping with ship,Boarded,-0.2522222,117.5675
361,Boarded,2021-01-29 02:20:00+08:00,Singapore Straits.,"Three robbers armed with long knives boarded a general cargo ship underway. Duty crew spotted the robbers in the engine room and raised the alarm. Crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to VTIS.",008-21,1.2908334,104.319725
365,Attempted,2021-01-14 11:49:00+03:00,Gulf of Aden.,"While underway, a bulk carrier noticed a skiff approaching. Alarm sounded and all crew mustered. At a distance of 0.2nm weapons and ladders were noticed in the skiff. The onboard armed team fired warning shots, resulting in the skiff aborting and moving away.",004-21,12.100278,44.434723
367,Boarded,2021-01-04 03:40:00+08:00,"Muara Berau Anchorage, Indonesia.",Three robbers armed with knives boarded an anchored bulk carrier. Duty crew spotted the robbers near the forecastle store escaping with ship,002-21,-0.2522222,117.5675
