lat,lon,Status,AttackID,Location,Narration,Date
18.625,-93.32806,Fired Upon,048-20,"HSP Platform, Offshore Dos Bocas, Mexico.","Crew onboard a pipelaying vessel noticed a boat with eight armed persons approaching at high speed. Alarm sounded, accommodation locked down and all crew mustered. As the boat approached from the stern it started firing at the vessel. Using the thrusters the Master was able to prevent the boat from coming alongside resulting in the boat aborting and moving away. Port Control notified via VHF and a patrol boat was dispatched to the location.",2020-04-03 20:06:00-06:00
21.400278,72.333336,Boarded,047-20,"Around 8nm East of Alang, India.","Crew onboard a tug towing the barge noticed unauthorised persons boarding the barge, stealing barge properties and escaping. Alarm raised and incident reported to VTS and Coast Guard, who dispatched a boat to investigate.",2020-03-27 20:00:00+05:30
-8.752222,13.2675,Boarded,046-20,"Luanda Inner Anchorage, Angola.","Crew onboard an anchored offshore supply ship noticed the padlock to the paint store broken. On checking the CCTV footage, it was noticed that four robbers had forced their way into the paint store and stole ship",2020-02-26 00:40:00+01:00
2.7516668,6.9025,Fired Upon,045-20,"Around 97nm South of Bonny Island, Nigeria.",About ten pirates armed with AK,2020-03-27 17:00:00+00:00
21.695278,91.84278,Boarded,044-20,"Matarbari Anchorage, Bangladesh.",Duty AB onboard an anchored tug noticed robbers armed with knives boarding the tug and immediately informed the Duty Officer. Alarm raised and crew mustered. Robbers stole ship,2020-02-07 19:10:00+06:00
3.118611,5.5855556,Attempted,043-20,"Around 75nm SSW of Bayelsa, Nigeria.",Seven armed pirates in a black speed boat approached and attempted to board a bulk carrier underway. Alarm raised and all non,2020-03-25 10:06:00+00:00
13.692691,121.002045,Boarded,042-20,Philippines.,"Duty crew onboard a berthed product tanker noticed a robber with a long knife near the forecastle and immediately informed the OOW. Alarm raised and all crew mustered. Seeing the alerted crew, the robber escaped. Vessel and crew safe.",2020-03-23 02:25:00+08:00
0.55583334,8.4225,Boarded,041-20,"Around 62nm WNW of Libreville, Gabon.",Pirates boarded a container ship underway. Most crew managed to retreat into the citadel. Regional Authorities notified and assistance was dispatched to the ship. When the crew emerged from the citadel seven crew were reported missing.,2020-03-22 06:57:00+01:00
0.11535637,-50.872192,Boarded,040-20,Brazil.,"Duty AB on routine rounds onboard an anchored bulk carrier noticed a small boat near the bow and notified the OOW. As he headed forward to check, three robbers intercepted him and took him hostage. The OOW raised the alarm when he noticed some movements near the forecastle and the AB did not respond to his calls on the walkie",2020-03-17 00:30:00-03:00
16.966667,82.3,Boarded,039-20,"Kakinada Anchorage, India.",Seven persons in a dinghy boat approached and boarded an anchored offshore tug. They stole lube oil drums and escaped. Incident reported to Kakinada Coast Guard. Two coast guard ships were deployed to search the fishing boats in the vicinity.,2020-02-28 04:00:00+05:30
6.3022223,3.3583333,Boarded,038-20,"Lagos Anchorage, Nigeria.","A robber boarded an anchored tanker. Duty crew spotted the robber and raised the alarm. Crew mustered. Hearing the alarm, the robber escaped with stolen cargo. Port control and Nigerian navy notified. A patrol boat was dispatched and Nigeria Naval personnel boarded the vessel for investigations.",2020-03-19 01:45:00+01:00
5.3672223,1.6,Attempted,037-20,"Around 49nm SE of Lome, Togo.","Master onboard a product tanker underway noticed a skiff on a parallel course. On altering her course, the skiff was seen altering course also and approaching the tanker. Alarm raised and the non",2020-03-05 07:30:00+00:00
3.925,98.771385,Boarded,036-20,"Belawan Anchorage, Indonesia.","Duty watchman onboard an anchored container ship noticed an armed robber on the forecastle.  He immediately informed the duty officer who sounded the alarm. Hearing the alarm and seeing the alerted crew, the robber escaped by boat. A second robber was spotted escaping via the anchor chain. Crew mustered and a search was carried out. Nothing reported stolen.",2020-03-13 20:10:00+07:00
1.1691667,103.433334,Boarded,035-20,Singapore Straits.,Three robbers armed with crowbar and pipes boarded a bulk carrier underway. The engine crew noticed the robbers and managed to lock them inside the engine room workshop. Alarm raised and crew mustered. Two accomplices in a skiff tried to approach the vessel but were repelled by the crew. Singaporean and Indonesian Authorities notified. Two Indonesian Authority armed guards boarded the vessel and arrested the three robbers.,2020-03-16 03:30:00+07:00
-12.051408,-77.18239,Boarded,034-20,"Callao Anchorage, Peru.","Nine robbers, in three small boats, came alongside and boarded an anchored reefer ship. They took hostage three crew members, tied them up and assaulted them. Alarm raised. Seeing the alerted crew, the robbers escaped with stolen ship",2020-03-13 03:15:00-05:00
6.0833335,125.2,Boarded,033-20,"General Santos Harbour Anchorage, Philippines.",Duty officer and duty A,2020-03-12 05:00:00+08:00
5.2728205,-4.03196,Boarded,032-20,"Abidjan Anchorage, Ivory Coast.",A robber in a canoe approached and boarded an anchored offshore tug. The alert crew noticed the presence of the robber and raised the alarm. All crew mustered and a security search was carried out throughout the vessel. Port Control informed and a security boat was sent to the location. It was reported that a mobile phone was stolen from the vessel.,2020-03-07 01:50:00+00:00
5.603611,2.343889,Boarded,031-20,"Around 45nm SSW of Cotonou, Benin.",Six armed persons boarded a product tanker underway. Distress signal activated and regional authorities notified. All non,2020-03-05 12:46:00+00:00
1.1847222,103.44,Boarded,030-20,Singapore Straits.,"Duty lookout onboard the bridge of a bulk carrier underway noticed four unauthorized persons near the accommodation block. Alarm raised, crew mustered and Singapore VTIS notified. Hearing the alerted crew the unauthorised persons escaped. The Singapore Coast Guard boarded the vessel for inspection. On searching the vessel, nothing was reported stolen.",2020-02-27 23:30:00+07:00
20.61111,71.0525,Boarded,029-20,"Around 7.7nm SSE of Diu, Gujarat, India.",Nine persons in a fishing boat approached a tanker under tow by a tug. Two persons boarded the tanker. The Master of the tug immediately reported the incident to the Indian Coast Guard via vhf ch,2020-02-19 08:20:00+05:30
-12.018888,-77.200836,Attempted,028-20,"Callao Anchorage, Peru.","Duty crew on routine safety rounds onboard an anchored bulk carrier noticed two small boats secured near the bow and three persons climbing the anchor chain. One person was seen waiting in the boat. Alarm raised and all crew moved towards the forecastle. Seeing the alerted crew, the persons retreated and escaped in their boats.",2020-03-01 00:40:00-05:00
