lat,lon,AttackID,Vessel,Status,Location,Narration,Date
-11.985,-77.18361,124-19,Product Tanker,Boarded,"Callao Anchorage, Peru.","Duty watchmen onboard an anchored tanker noticed three unauthorised persons on the forecastle deck and raised the alarm. The OOW, sounded the forward horn, raised the alarm, made and announcement on the PA and crew mustered. Seeing the alerted crew the persons escaped in their boat. Further investigations indicated that the perpetrators opened the bosun store skylight but were unable to steal anything.",2019-10-12 02:30:00-05:00
18.5525,-72.38333,123-19,Bulk Carrier,Boarded,"Port Au Prince Anchorage, Haiti.","During routine rounds, duty AB onboard an anchored ship was taken hostage by robbers armed with guns and long knives. Alarm raised and crew mustered. Seeing the alerted crew the robbers escaped with stolen ship",2019-10-11 20:10:00-04:00
-4.837018,11.865234,122-19,Research Vessel,Boarded,"Pointe Noire Anchorage, The Congo.",Master onboard the anchored research vessel heard a sound near the forward and noticed one unknown person onboard. Master shouted and the person escaped. Emergency alarm raised and crew mustered. A boat was seen departing the vessel with stolen ship,2019-10-08 23:40:00+01:00
1.3,104.11667,121-19,LPG Tanker,Boarded,"Johor Anchorage, Malaysia.","Unnoticed, robbers boarded an anchored tanker, stole ship",2019-10-06 07:59:00+08:00
6.283889,3.218889,120-19,Product Tanker,Boarded,"Lagos Secure Anchorage Area, Nigeria.","Duty security patrol onboard an anchored product tanker noticed three robbers on the forecastle and immediately informed the OOW, who raised the alarm. Upon hearing the alarm, the robbers escaped without stealing anything. Incident reported to Nigerian Navy and a patrol boat arrived for investigation.",2019-10-05 03:00:00+01:00
-12.030556,-77.18584,119-19,Bulk Carrier,Boarded,Peru.,"Robbers boarded an anchored bulk carrier. They took hostage the duty AB and tied his hands. When the duty officer did not receive a response from the duty AB he order other crew to investigate. Upon arriving at the forecastle, the crew saw the duty AB, who raised the alarm. hearing the alerted crew the robbers escaped. The duty AB was unharmed. Two mooring ropes were reported missing. Incident reported to the port authority and local agent.",2019-09-30 01:55:00-05:00
1.0352777,103.65,118-19,Bulk Carrier,Boarded,Singapore Straits.,"Deck crew on routine rounds onboard a bulk carrier underway in the Singapore TSS spotted five armed robbers on the aft deck. Alarm raised, SSAS activated and PA announcement made resulting in the robbers escaping without stealing anything. Incident reported to Singapore VTIS. After almost one hour and in Singapore waters, a Singapore police coast guard boat intercepted and escorted the ship to Singapore, where they boarded and searched the ship to ensure that the robbers had left.",2019-09-30 22:15:00+07:00
-1.1096356,116.734024,117-19,Product Tanker,Boarded,"Balikpapan, Indonesia.",Two robbers boarded a berthed tanker. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping without stealing anything.  Incident reported to local authorities.,2019-09-19 03:00:00+08:00
17.063055,82.436386,116-19,LPG Tanker,Boarded,"Kakinada Anchorage, India.",Four robbers boarded an anchored LPG tanker using a hook attached with rope. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping in their boat with ship,2019-09-24 00:55:00+05:30
1.6,104.53333,115-19,General Cargo,Boarded,"Around 16nm East of Bandar Penawar, Johor, Malaysia.","A Bosun onboard an anchored general cargo ship sighted three robbers on the forecastle and immediately informed the OOW, who raised the alarm. The crew mustered and proceeded towards the forward. Seeing the alerted crew, the robbers escaped with a mooring rope.",2019-09-26 05:06:00+07:00
1.5683334,104.516945,113-19,Crude Oil Tanker,Boarded,"Around 16nm East of Bandar Penawar, Johor, Malaysia.","Unnoticed, robbers boarded an anchored tanker via anchor chain and stole ship",2019-09-26 03:15:00+07:00
13.766666,120.98333,114-19,Chemical Tanker,Attempted,"Mabini Anchorage, Philippines.",Duty crew onboard an anchored tanker noticed a person attempting to open the anchor hawse pipe cover. Alarm raised and crew mustered. Incident reported to local agent.,2019-09-24 01:00:00+08:00
-2.5455556,-80.102776,112-19,Container,Boarded,"Around 4.5nm WNW of Isla Escalante, Ecuador.","Two duty crew onboard a container ship under pilotage failed to respond to routine radio checks from the OOW. Investigations revealed that both the crews had been assaulted and tied up. They reported that seven persons armed with a shotgun had boarded, taken them hostage and stolen their personal effects and radios before escaping. The ship proceeded to Posorja roads where the coast guard and anti",2019-09-21 20:00:00-05:00
5.5666666,119.11667,111-19,Fishing Vessel,Boarded,"Around 6.3nm North of Pulau Tambisan, Sabah, Malaysia.","Seven armed persons in two pump boats, wearing camouflage uniforms and masks, approached two fishing vessels. The persons boarded the fishing vessels, held the crew at gunpoint and took their personal effects, phones and documentation. Before leaving the armed persons kidnapped three crew members from one fishing vessel and headed to Tawi",2019-09-23 11:58:00+08:00
6.2836113,3.233611,110-19,Product Tanker,Boarded,"Lagos Secure Anchorage Area, Nigeria.",Duty watchmen onboard a tanker noticed two robbers near the forward cargo tanks and raised the alarm.  One robber shouted at the watchkeeper and made a threatening gesture. Alarm raised and Nigerian navy patrol boat responded and searched the waters around the tanker. Investigations showed a section of the razor wire was broken and the vapour locks of the forward cargo tanks were opened.,2019-09-23 04:15:00+01:00
9.416667,-13.733334,109-19,Product Tanker,Boarded,"Around 5nm SSW of Conakry, Guinea.","Four robbers armed with a gun and knives boarded an anchored tanker. They took hostage the duty AB, tide his hands and forced him to lead them to the bridge. Once inside the bridge the robbers took hostage the duty officer and forced him to lead them to the Captain, Chief Engineer, third officer and bosun",2019-09-16 02:50:00+00:00
4.1738887,8.927222,108-19,Fishing Vessel,Boarded,"Around 4.5nm SW of Idenao, Cameroon.","Eight persons in a speed boat, boarded a fishing vessel conducting fishing operations. The perpetrators kidnapped two crew members and escaped. Cameroon navy notified and investigations are ongoing.",2019-09-13 23:00:00+01:00
4.0488014,9.686423,107-19,Bulk Carrier,Boarded,"Port of Douala, Cameroon.","Unnoticed, robbers boarded a berthed bulk carrier during cargo operations. During routine rounds in the morning, it was noticed that the store",2019-09-12 08:00:00+01:00
1.5683334,104.515,106-19,LNG Tanker,Boarded,"Around 15nm East of Bandar Penawar, Johor, Malaysia.","Three persons boarded an anchored tanker via the anchor cable. They stole the forward liferaft, ship",2019-09-08 16:08:00+07:00
5.807815,118.08195,105-19,Bulk Carrier,Boarded,"Sabah, Malaysia.","During routines round, duty AB onboard a berthed bulk carrier noticed two robbers on the forecastle and raised the alarm. Seeing alerted crew, the robbers jumped overboard and escaped in a boat alongside the vessel with another robber. Upon investigation, ship",2019-08-27 20:25:00+08:00
18.573814,-72.34664,104-19,Product Tanker,Boarded,"Port Au Prince, Haiti.",Two armed robbers boarded a berthed tanker using a hook attached to a rope. Duty crew noticed the robbers and raised the alarm resulting in the robbers escaping with ship,2019-05-15 03:00:00-04:00
1.5833334,104.53333,103-19,Crude Oil Tanker,Boarded,"Around 17nm ENE of Bandar Penawar, Johor, Malaysia.","Duty crew onboard an anchored tanker noticed armed persons on the forecastle and notified the duty officer. Alarm raised and forward whistle sounded. Master advised all crew to retreat into the accommodation. Hearing the alarm, the armed persons escaped with a life raft and other ship",2019-08-26 03:45:00+07:00
3.8397129,98.73939,102-19,Bulk Carrier,Boarded,"Belawan Anchorage, Indonesia.","Duty crew onboard an anchored bulk carrier noticed a small boat near the anchor chain and told the boat to move away as they were about to heave up the anchor. As the duty crew was about to raise the alarm, two armed robbers who had already boarded the ship, held the duty crew at knife point and tied him up. When the ship was ready to heave up the anchor, the remaining crew proceeded to the forecastle. On seeing these crew members approaching, the robbers snatched the duty crew",2019-08-23 01:30:00+07:00
4.675,7.1551666,101-19,Offshore Supply Ship,Boarded,"Federal Ocean Terminal, Onne Port, Nigeria.",Duty officer onboard a berthed offshore supply ship noticed a robber on the CCTV stealing ship,2019-08-14 02:30:00+01:00
1.1025,103.88416,100-19,Tug,Boarded,"Batam Anchorage, Indonesia.",Five robbers armed with knives boarded an anchored tug. Crew alerted and alarm raised. All crew mustered in a safe location and called the local authorities who responded and boarded the tug for investigations. Deck and engine room spares were reported stolen. All crew safe.,2019-08-21 03:40:00+07:00
3.5875,6.6875,099-19,LPG Tanker,Boarded,"50nm SE of Brass, Nigeria.","Pirates boarded a LPG tanker underway. Alarm sounded and crew mustered in the citadel. Headcount indicated that one crew was missing in the citadel. Owners and Nigerian navy notified and a naval patrol boat was dispatched. After the Nigerian naval team boarded the vessel and confirmed that no pirates found on board, the crew emerged from the citadel. On 12 Dec 2019, the Owners confirmed that one kidnapped crew member was released safely on 05 Oct 2019.",2019-08-17 03:25:00+00:00
10.738055,106.77,098-19,Container,Boarded,"Phuoc Long Mooring Buoy No. 03, Vietnam.","Duty AB on routine rounds onboard a berthed container vessel noticed two robbers armed with knives trying to break into the steering gear room. Duty Officer notified. Alarm raised and crew mustered. Seeing the alerted crew, the robbers escaped. Nothing reported stolen.",2019-08-12 02:30:00+07:00
3.8666666,9.516666,097-19,General Cargo,Boarded,"Douala Anchorage, Cameroon.","Armed persons boarded a general cargo ship. The Cameroon navy dispatched a patrol boat. When the crew emerged from hiding, it was reported that eight crew members were missing. Investigations are on",2019-08-15 03:30:00+01:00
3.8666666,9.52,096-19,Bulk Carrier,Boarded,"Douala Anchorage, Cameroon.","Armed persons boarded a bulk carrier, stole crew and ship",2019-08-15 02:18:00+01:00
4.1516666,8.368055,095-19,LPG Tanker,Fired Upon,"Around 23nm SSE of Okposo, Nigeria.",A suspicious boat approached and fired upon a tanker underway. Alarm raised and crews mustered in the citadel. Master took evasive actions resulting in the boat abandoning the attack. Vessel and crew are safe.,2019-08-14 11:50:00+01:00
-14.384167,40.7,094-19,Chemical Tanker,Boarded,"Nacala Outer Anchorage, Mozambique.",Two armed robbers boarded an anchored chemical tanker via the hawse pipe and broke into the forecastle store. Alert crew noticed the robbers and raised the alarm resulting in the robbers escaping with stolen ship,2019-08-07 21:30:00+02:00
1.1055555,104.16861,093-19,Chemical Tanker,Attempted,"Tanjung Uban Anchorage, Indonesia.","Three robbers in a wooden boat came alongside an anchored chemical tanker. They attempted to board the tanker using hooks attached with ropes. Duty Officer on security rounds on the bridge noticed the robbers and raised the alarm, sounded ship",2019-08-07 03:00:00+07:00
19.036667,-92.007225,092-19,Maintenance Pontoon,Boarded,"Ciudad del Carmen Anchorage, Mexico.",Crew onboard a maintenance pontoon reported ship,2019-08-04 06:00:00-06:00
6.43149,3.336577,091-19,Bulk Carrier,Boarded,"Berth No.TC09, Lagos, Nigeria.",Ten robbers boarded a berthed bulk carrier during cargo operations. They assaulted and took hostage the duty AB on routine rounds. The robbers stole ship,2019-07-25 05:42:00+01:00
-4.0720177,39.653046,090-19,Tanker,Boarded,"Mbaraki Wharf, Mombasa, Kenya.","Duty AB on routine rounds onboard a berthed tanker, noticed a person climbing the mooring rope. Alarm sounded, crew mustered, and port control informed. Before a patrol boat could respond, the person had cut two mooring ropes and escaped.",2019-07-27 00:30:00+03:00
-6.0084724,106.86667,089-19,Chemical Tanker,Boarded,"Around 5nm North of Tanjung Priok, Jakarta, Indonesia.","Six robbers armed with knives boarded a chemical tanker waiting for pilot. They injured the Chief Engineer on routine rounds. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the VTS.",2019-07-31 05:20:00+07:00
3.8785293,98.77254,088-19,Bulk Carrier,Boarded,"Belawan Anchorage, Indonesia.","Two robbers boarded an anchored bulk carrier. Alarm raised and crew mustered. Seeing the crew alertness, the robbers escaped empty handed. Incident reported to the Port Control.",2019-07-31 06:20:00+07:00
6.431989,3.3541775,087-19,Container,Boarded,"Port of Lagos, Nigeria.","Three robbers armed with metal sticks in a small boat approached and boarded a berthed container ship. They attacked the duty AB on routine rounds, stole his personal belongings and escaped. Alarm raised and a search was carried out. The duty AB was slightly injured during the incident and further medical checkup was initiated. The incident was reported to the PFSO and Harbour Master.",2019-07-29 04:10:00+01:00
6.319763,-10.833645,086-19,Bulk Carrier,Boarded,"Monrovia Roads, Liberia.",Duty AB noticed an unauthorized person on the deck and raised the alarm. Seeing the alerted crew the person cut the self,2019-07-29 03:30:00+00:00
1.757451,101.36746,085-19,Product Tanker,Boarded,"SDS Terminal, St 1, Lubuk Gaung, Indonesia.","Four armed robbers boarded a berthed tanker during cargo operations. Alert crew noticed the robbers near the engine room and raised the alarm. Upon hearing the alarm and seeing the crew alertness, the robbers escaped through the steering gear room. A search was carried out. It was reported that engine spares were stolen. Incident reported to the PFSO.",2019-07-28 02:55:00+07:00
1.0682542,103.90352,084-19,Offshore Tug,Boarded,"PT Dharma Sentosa Marindo Yard, Batam, Indonesia.",Four robbers in a boat approached and boarded a berthed offshore tug. Second mate on routine rounds noticed footprints on the main deck. Further checks revealed a storeroom padlock broken. Alarm raised and crew mustered. Vessel,2019-07-23 06:00:00+07:00
6.300833,3.3891666,083-19,Product Tanker,Boarded,"Lagos Anchorage, Nigeria.","During routine rounds, duty crew, getting a strong smell of cargo, approached the forward cargo tanks and noticed one unauthorized person jumping overboard with a hose.  Alarm raised and crew mustered. Investigations indicated that the person was trying to steal cargo. Incident reported to the Navy patrol boat in the vicinity. A search of the surrounding waters conducted. Nothing reported stolen.",2019-07-26 04:30:00+01:00
10.741576,106.74468,082-19,General Cargo,Boarded,"Lotus Port, Ho Chi Minh City, Vietnam.","Third officer on routine rounds onboard a berthed general cargo ship noticed an unauthorised person on deck throwing items over the shipside. On checking, the duty officer noticed two boats collecting the items. Alarm raised. Seeing the approaching officer, the unauthorised person escaped. Upon checking it was found that the padlock of the forward store was broken, and ship",2019-07-25 19:40:00+07:00
2.9188888,105.16889,081-19,Bulk Carrier,Boarded,"Around 16nm NW of Pulau Damar, Indonesia.","Seven pirates armed with a pistol and knives in a small speed boat boarded a bulk carrier underway using a ladder attached with a hook. Master and the second officer taken hostage, tied up and assaulted by the pirates. The pirates stole cash and crew personal belongings before escaping. Incident reported to Korean Authorities.",2019-07-22 02:25:00+07:00
8.466945,-13.466945,080-19,Container,Boarded,"Freetown Anchorage, Sierra Leone.",Five robbers armed with knives in a small wooden boat approached and boarded an anchored container ship using a rope attached with a hook. The robbers took hostage the duty crew and stole his personal belongings and ship,2019-07-21 02:40:00+00:00
1.2166667,103.51667,079-19,Tug,Boarded,"Around 2.9nm South of Tanjung Piai, Johor, Malaysia.","Six small wooden boats approached a tug and barge underway. The unauthorised persons boarded the barge, stole its cargo of scrap metal and escaped. The Master contacted the local authorities who dispatched a patrol vessel to investigate.",2019-07-11 10:30:00+08:00
2.9666667,4.6666665,078-19,General Cargo,Hijacked,"Around 124nm SW of Brass, Nigeria.",Armed pirates in two speed boats boarded and hijacked a general cargo ship underway. The Owners were unable to contact the ship and immediately informed the Nigerian Authorities. The IMB Piracy Reporting Centre,2019-07-13 22:50:00+00:00
-6.098695,106.88394,077-19,Bulk Carrier,Boarded,"Jakarta, Indonesia.","Unnoticed, robbers boarded a berthed bulk carrier during cargo operations. Duty Bosun on routine rounds noticed the store padlock broken and notified the Duty Officer. Alarm raised and crew mustered. It was reported that ship",2019-06-30 16:30:00+07:00
5.1805334,119.32182,076-19,Fishing Vessel,Boarded,"Sabah, Malaysia.",Two fishing vessels with 16 crews were approached and boarded by armed persons while enroute from Tambisan to Semporna. The armed persons kidnapped 10 crews and escaped. Local authorities notified.The nine crew were reported released on 21.06.2019.  One remaining crew still held.,2019-06-18 02:00:00+08:00
2.973611,5.27,075-19,Product Tanker,Fired Upon,"98.54nm SW of Brass, Nigeria.","Armed persons in a speedboat chased and fired upon at a tanker underway. Alarm raised, vessel increased speed and commenced evasive manoeuvres and non",2019-05-03 20:00:00+00:00
1.5734426,104.38532,074-19,Bulk Carrier,Boarded,"Around 13nm ENE of Bandar Penawar, Johor, Malaysia.","Duty officers onboard an anchored bulk carrier noticed an unauthorised person on the forecastle and proceeded to investigate. As the officers arrived, the person threatened them with a knife and escaped with his accomplice who was waiting in a boat. Incident reported to the local authorities. Coast Guard boarded the vessel to investigate. Nothing reported stolen.",2019-05-31 23:30:00+08:00
-3.6833334,114.433334,073-19,Bulk Carrier,Boarded,"Taboneo Anchorage, Indonesia.","While carrying out routine rounds onboard an anchored bulk carrier, duty crew noticed the forecastle store door broken into and ship",2019-02-19 21:45:00+08:00
0.0575,-50.97696,072-19,Bulk Carrier,Boarded,"Macapa Anchorage, Brazil.","Six robbers armed with knives boarded an anchored bulk carrier through the anchor chain. Duty AB on routine rounds spotted the robbers and immediately informed the Master, who raised the alarm. PA announcement made, whistle sounded, and all crew mustered. A search was carried out. Ship",2019-05-31 02:25:00-03:00
-6.008365,105.958755,071-19,Bulk Carrier,Boarded,"D6 Berth, Cigading Port, Indonesia.",Duty watchman on routine rounds onboard an anchored bulk carrier noticed two robbers in the steering gear room and immediately informed the OOW who sounded the ship,2019-05-29 01:52:00+07:00
1.2166667,103.566666,070-19,Tug,Boarded,"Around 3.4nm SSE of Tanjung Piai, Johor, Malaysia.","Persons from five wooden boats approached, illegally boarded and stole properties from a crane barge under tow by a tug and escaped. The tug Master contacted the Authorities and reported the incident.",2019-05-18 16:00:00+08:00
-14.547222,40.654446,069-19,Product Tanker,Boarded,"Nacala Inner Anchorage, Mozambique.",Duty crew noticed the forward store broken into and reported same to the duty officer. Alarm raised. A search was carried out. Foot prints were noticed on the forecastle deck. Ship,2019-05-26 22:00:00+02:00
-3.7166667,114.434166,068-19,Bulk Carrier,Boarded,"Taboneo Anchorage, Indonesia.","Seven persons armed with knives, boarded an anchored bulk carrier. They were noticed by the duty watchman who raised the alarm. Crew mustered. The persons threatened the crew with their knives, stole ship",2019-05-23 21:30:00+08:00
-0.89080083,131.23593,067-19,Yacht,Attempted,"Around 0.18nm SE of Pulau Doom, Sorong, Indonesia.",A person in a fishing boat approached an anchored sailing vessel and attempted to steal the sailing vessel,2019-05-22 23:00:00+09:00
10.2,-64.75,066-19,Tanker,Boarded,"Puerto Jose Anchorage, Venezuela.","Six persons in a small boat with an outboard motor approached and boarded an anchored tanker. Duty crew on routine rounds noticed the robbers and raised the alarm. Hearing the alarm and seeing the crew alertness, the robbers escaped in their boat. A search was carried out. Nothing reported stolen. Incident reported to the Coast Guard through the local agents.",2019-04-25 22:00:00-04:00
9.383333,-13.683333,065-19,Bulk Carrier,Boarded,"Conakry Anchorage, Guinea.","Four robbers armed with automatic rifles and knives boarded an anchored bulk carrier. They took the crew hostage, ransacked their cabins and stole ship",2019-05-14 01:42:00+00:00
1.0,104.91361,064-19,General Cargo,Boarded,"Around 4nm East of Pulau Mapur, Indonesia.",Four robbers armed with long knives boarded a general cargo ship underway. They took hostage the duty AB and entered into the Master,2019-05-13 01:10:00+07:00
-11.983334,-77.183334,063-19,LNG Tanker,Boarded,"Callao Anchorage, Peru.","Around four to five robbers wearing face masks boarded an anchored LNG tanker via the hawse pipe. They took hostage the duty crew on routine rounds. Alarm raised, ship",2019-05-18 00:55:00-05:00
7.668889,128.48334,062-19,Bulk Carrier,Attempted,"Around 115nm East of Baganga, Philippines.","Unidentified persons in a speedboat approached and closed in to the ship underway. Alarm raised, crew mustered, and fire hoses pressurized. The persons were observed to be shouting towards the ship while holding steel hooks. After 30 mins of chasing, the boat aborted and moved away. The ship resumed her passage.",2019-05-10 10:00:00+09:00
3.0666666,7.983333,061-19,Tug,Hijacked,"Around 41nm SW of Luba, Equatorial Guinea.",Armed pirates hijacked the tug underway and took its crew hostage. The pirates used the tug to attack and board another ship. Incident reported to authorities and a Spanish and Equatorial Guinean Naval vessel responded resulting in both ships being released.,2019-05-05 13:00:00+01:00
6.103346,1.2958717,060-19,Chemical Tanker,Hijacked,Togo.,Armed persons boarded and hijacked an anchored tanker with her crew. The Togo Navy received a call from the Owners that their tanker had been attacked. Togo Navy immediately responded by dispatching patrol boats to investigate.  The tanker was intercepted 25nm from the anchorage area and forced to divert to Lome port. The crew were reported safe and the armed persons were captured and handed over to the relevant Authorities.,2019-05-12 01:00:00+00:00
1.721111,101.45,059-19,Bulk Carrier,Boarded,"Lubuk Gaung Anchorage, Dumai Port, Indonesia.",The ship,2019-05-11 17:00:00+07:00
3.0833333,7.983333,058-19,Heavy Load Carrier,Boarded,"Around 48nm SW of Luba, Equatorial Guinea.","Pirates onboard a previously hijacked tug approached and boarded a heavy load carrier ship underway. Alarm sounded, and the crew retreated into the citadel. Regional Authorities notified. A nearby Spanish Naval vessel and the Equatorial Guinean Navy responded to the incident resulting in the pirates escaping and the crews released. The tug and the ship were escorted by the Equatorial Guinean Navy to a safe port for further investigations.",2019-05-05 13:16:00+01:00
-5.8520346,13.431473,057-19,Product Tanker,Boarded,Ango-,"Two robbers armed with long knives boarded an anchored product tanker and broke into the forecastle store. Duty watch keeper spotted the robbers and notified the OOW. Alarm raised, and crew mustered. Upon hearing the alarm, the robbers escaped with stolen ship",2019-04-28 06:04:00+01:00
12.283334,-72.01667,056-19,Bulk Carrier,Boarded,"Puerto Bolivar Anchorage, Colombia.","Two robbers in a small boat approached and boarded an anchored bulk carrier.  Alert crew noticed the robbers and raised the alarm. Crew mustered. Hearing the alarm and seeing the crew alertness, the robbers escaped empty handed. Coast guard informed.",2019-04-24 22:40:00-05:00
