lat,lon,AttackID,Vessel,Status,Location,Narration,Date
14.55,120.9,036-19,Container,Boarded,"Manila South Quarantine Anchorage, Philippines.","Unnoticed, robbers boarded an anchored container ship and escaped with ship",2019-03-27 04:30:00+08:00
10.183333,-64.86667,035-19,Crude Oil Tanker,Boarded,"Jose Terminal Anchorage, Venezuela.","Five robbers armed with knives and a pipe wrench boarded an anchored tanker. They tied up the aft watch keeper and broke into the paint store. Alarm raised and crew mustered. Hearing the alerted crew, the robbers escaped with stolen ship",2019-03-28 00:10:00-04:00
6.25,3.2,004-19,Product Tanker,Attempted,"Lagos SAA, Nigeria.",Around 4,2019-01-07 02:10:00+01:00
18.402222,-69.31695,033-19,LPG Tanker,Boarded,"San Pedro de Macoris anchorage, Dominican Republic.","Unnoticed robbers boarded an anchored tanker, stole ship",2019-03-21 05:00:00-04:00
10.183888,-64.78445,032-19,Tanker,Boarded,"Jose Terminal Anchorage, Venezuela.",Three robbers armed with knives boarded an anchored crude oil tanker. Deck watch on routine rounds spotted the robbers and notified the OOW just before the robbers threatened him with a knife and stole his radio. Alarm raised and crew mustered resulting in the robbers escaping with their accomplices in a waiting boat. Incident reported to port authorities.,2019-03-21 00:35:00-04:00
-12.033334,-77.2,031-19,Vehicle Carrier,Attempted,"Callao Anchorage, Peru.","Four robbers wearing jackets and caps in a small boat approached an anchored vehicle carrier. Duty crew on routine rounds noticed the robbers attempting to board the ship via the anchor cable. Alarm raised, ship",2019-03-19 02:00:00-05:00
3.8666666,7.0666666,030-19,Offshore Supply Ship,Fired Upon,"Around 30nm SSW of Bonny Island, Nigeria.",Two speed boats with 16,2019-02-28 08:15:00+00:00
3.9592452,6.664738,029-19,Offshore Support Vessel,Boarded,"Around 32nm SE of Brass, Nigeria.","Pirates armed with machine guns in two speed boats approached an offshore support vessel underway. The Captain immediately notified the naval escort security boat which maneuvered to engage the attackers. One speed boat closed in from port side of the vessel and crossed the bow, while the other speed boat exchanged fire with the security boat. Alarm raised, crew proceeded to the engine room and all power was shut down. The pirates boarded the vessel with the aid of an elongated ladder. They broke into the accommodation, vandalized the cabins and took crew belongings and vessel",2019-03-09 11:15:00+00:00
-3.7297437,114.448044,028-19,Bulk Carrier,Attempted,"Taboneo Anchorage, Indonesia.","Duty watchman on routine rounds onboard an anchored bulk carrier noticed two robbers attempting to board via the anchor chain. He immediately informed the OOW who raised the alarm and crew mustered. Seeing the crew alertness, the robbers retreated into their waiting skiff and escaped. Incident reported to Taboneo Port Control.",2019-02-25 19:06:00+08:00
0.05,-50.95,027-19,Bulk Carrier,Boarded,"Macapa Anchorage, Brazil.","Two robbers armed with knives boarded an anchored bulk carrier using a rope attached with a hook. Duty AB on routine rounds spotted the robbers and immediately informed the OOW, who raised the alarm. PA announcement made, and all crew mustered. Seeing the alerted crew, the robbers escaped without stealing anything. Incident reported to Port Authorities.",2019-03-10 01:30:00-03:00
5.866667,1.4,026-19,Product Tanker,Boarded,"Around 17nm SSE of Lome, Togo.","Armed pirates attack and boarded a product tanker underway. Alarm raised and crew mustered in the citadel. On taking the headcount, four crew were identified as missing. Upon receiving a MAYDAY message from the Master, the IMB Piracy Reporting Centre",2019-03-03 19:40:00+00:00
