mmsi,imo,ship_id,longitude,latitude,speed,heading,status,course,timestamp,dsrc,utc_seconds
403226410,0,6044437,39.10679,21.71789,2,511,96,91,2021-01-29 07:03:24,TER,60
403280670,0,6330082,39.10186,21.71803,0,511,99,348,2021-01-29 07:08:29,TER,28
244870066,0,4682055,39.10196,21.7181,0,511,99,160,2021-01-29 07:07:13,TER,12
403103000,8972065,475149,39.10169,21.71813,0,351,5,347,2021-01-29 07:08:55,TER,55
403133000,9752371,130914,39.10689,21.72152,0,66,5,248,2021-01-29 07:10:01,TER,0
403284310,0,5180637,39.1062,21.72199,0,187,96,187,2021-01-29 07:09:26,TER,0
403291050,0,4834830,39.10709,21.7222,1,511,99,0,2021-01-29 07:10:46,TER,48
403252150,0,4840805,39.10614,21.72223,2,109,99,109,2021-01-29 07:08:10,TER,0
403256640,0,4824575,39.11112,21.72233,53,224,99,224,2021-01-29 06:59:56,TER,0
970845272,0,4893439,39.10607,21.72247,0,329,14,329,2021-01-29 07:08:45,TER,44
9105610,0,5744073,39.10675,21.72321,1,185,99,185,2021-01-29 06:38:22,TER,0
403245160,0,5174503,39.10649,21.72357,0,511,99,0,2021-01-29 07:11:09,TER,7
403225150,0,4825858,39.10659,21.72364,1,202,99,202,2021-01-29 07:08:52,TER,0
403237860,0,4858315,39.10466,21.72531,0,511,99,323,2021-01-29 07:08:58,TER,57
403231110,0,5034391,39.12928,21.73657,0,511,99,312,2021-01-29 07:08:30,TER,28
403295810,0,4199896,39.12319,21.73738,0,511,99,0,2021-01-29 07:08:49,TER,7
403225350,0,4875986,39.12305,21.73742,0,186,99,186,2021-01-29 07:08:55,TER,0
403203340,0,4634770,39.11611,21.738,86,511,99,192,2021-01-29 07:10:57,TER,1
9106279,0,4778408,39.12232,21.73822,66,73,99,73,2021-01-29 07:10:27,TER,0
403260980,0,6513872,38.96626,21.73851,6,511,99,74,2021-01-29 07:08:36,TER,60
403229170,0,5210446,39.12238,21.73876,72,511,99,83,2021-01-29 06:44:32,TER,41
403288010,0,6479874,38.98466,21.75408,6,511,99,0,2021-01-29 07:10:15,TER,63
403202140,0,4251510,39.13039,21.75598,0,511,99,0,2021-01-29 07:11:18,TER,18
403223350,0,5741589,39.13443,21.76002,181,511,99,212,2021-01-29 07:10:33,TER,8
403283970,0,5750100,39.05278,21.77391,2,511,99,0,2021-01-29 06:57:14,TER,63
403526001,9620968,475436,38.62966,21.80757,123,145,0,144,2021-01-29 07:10:17,TER,15
403264250,0,4939090,39.01795,21.82305,38,511,99,101,2021-01-29 06:42:36,TER,35
403248810,0,5038550,39.02451,21.84093,1,167,96,167,2021-01-29 06:36:02,TER,0
403212040,0,5584866,39.06058,21.86131,0,511,99,0,2021-01-29 07:10:59,TER,0
403262510,0,5427906,38.95015,21.8639,193,511,99,333,2021-01-29 06:18:43,TER,42
403243370,9255543,460196,38.95037,21.92497,0,511,5,0,2021-01-29 07:10:28,TER,26
